round,alive_nodes,round_energy
0,100,0.020637068325559355
1,100,0.02020626225241765
2,100,0.021423243693074138
3,100,0.020110532090547764
4,100,0.018034499032816922
5,100,0.018291103692987074
6,100,0.02089286831230652
7,100,0.01917739512684346
8,100,0.019088733319813343
9,100,0.01848143910291093
10,100,0.019155814595183993
11,100,0.02007288365812085
12,100,0.02005309996992302
13,100,0.020230724018604963
14,100,0.019399232696003108
15,100,0.01942571023303241
16,100,0.019399232696003108
17,100,0.01944752801375994
18,100,0.019064627834437183
19,100,0.01817584726938268
20,100,0.019250569097886694
21,100,0.01980902823838617
22,100,0.018634776120803182
23,100,0.01944752801375994
24,100,0.01868850349244058
25,100,0.018664600907449296
26,100,0.019355193721568537
27,100,0.017544249754001637
28,100,0.01889349971062204
29,100,0.01804814393109928
30,100,0.017416274087163813
31,100,0.018320995326770666
32,100,0.019802010731588045
33,100,0.018411973868444457
34,100,0.018664186648916423
35,100,0.017778732876438986
36,100,0.019195486711916936
37,100,0.017361752593275107
38,100,0.01886756673843222
39,100,0.01785502120593802
40,100,0.01795625234915619
41,100,0.01863434588570803
42,100,0.017979026751269982
43,100,0.017446533375312545
44,100,0.018438487724677655
45,100,0.018059905470781082
46,100,0.0185990412524398
47,100,0.01836168969209814
48,100,0.017182319712223924
49,100,0.01737312604094624
50,100,0.017483508097763157
51,100,0.018085740219296223
52,100,0.017822600139351285
53,100,0.018181681831835973
54,100,0.018494930631406042
55,100,0.018246596385286022
56,100,0.018328787879858924
57,100,0.017995041076801253
58,100,0.018629381939085022
59,100,0.017401826032795737
60,100,0.018350030999090605
61,100,0.018295197248323496
62,100,0.01778540155773528
63,100,0.01790708253948764
64,100,0.018196310651004705
65,100,0.01806662319021478
66,100,0.01801979721494338
67,100,0.018557025076460527
68,100,0.018211982449043367
69,100,0.018424113751548014
70,100,0.0178795090773021
71,100,0.018222712053390107
72,100,0.018271403779841967
73,100,0.01776104154281629
74,100,0.018552985010884426
75,100,0.017740349762148885
76,100,0.018167668582226876
77,100,0.0194946444771553
78,100,0.018660919182322707
79,100,0.017538402107701127
80,100,0.018470095045748324
81,100,0.017737088590946398
82,100,0.01904301460633617
83,100,0.018228256223374074
